parameter,low_value,high_value,low_icer,high_icer,icer_range
effectiveness_multiplier,0.7,1.3,55280.31483783056,29766.323374216456,-25513.991463614107
cost_multiplier,0.7,1.3,27087.354270536973,50305.08650242582,23217.732231888844
sustainability_multiplier,0.8,1.2,38696.22038648139,38696.22038648139,0.0
discount_rate,0.0,0.06,38696.22038648139,38696.22038648139,0.0
