parameter,low_value,high_value,low_icer,high_icer,icer_range
effectiveness_multiplier,0.7,1.3,85746.9891713501,46171.45570765005,-39575.53346370005
cost_multiplier,0.7,1.3,42016.024693961546,78029.7601459286,36013.73545196705
sustainability_multiplier,0.8,1.2,60022.89241994507,60022.89241994507,0.0
discount_rate,0.0,0.06,60022.89241994507,60022.89241994507,0.0
