scenario,incremental_costs,incremental_qalys,icer_per_qaly
Base Case,17062543.200212494,281.45045280572504,60623.61254039319
High Resource Setting,22181306.16027624,337.74054336687004,65675.58025209262
Low Resource Setting,11943780.240148745,225.16036224458003,53045.66097284404
Urban Setting,20475051.840254992,309.59549808629754,66134.8500440653
Rural Setting,13650034.560169995,253.30540752515253,53887.655591460614
Optimistic,13650034.560169995,365.88558864744255,37306.838486395805
Pessimistic,23887560.48029749,197.01531696400752,121247.22508078637
