parameter,low_value,high_value,low_icer,high_icer,icer_range
effectiveness_multiplier,0.7,1.3,30709.97694815882,16536.141433623976,-14173.835514534843
cost_multiplier,0.7,1.3,15047.888704597817,27946.07902282452,12898.190318226703
sustainability_multiplier,0.8,1.2,21496.98386371117,21496.98386371117,0.0
discount_rate,0.0,0.06,21496.98386371117,21496.98386371117,0.0
