Intervention,Total_Costs,Total_QALYs,Total_DALYs,Incremental_Costs,Incremental_QALYs,Incremental_DALYs,ICER_per_QALY,ICER_per_DALY
Baseline,4247152.876429012,6414.76606027823,2111.1005900555783,0.0,0.0,0.0,0.0,0.0
DSMES,13456644.909956988,6652.760674262425,1864.4336031873274,9209492.033527976,237.99461398419498,-246.6669868682509,38696.22038648139,37335.730048248915
CGM,27064530.742720176,6653.204600235057,1866.9041631839282,22817377.866291165,238.4385399568273,-244.19642687165015,95695.00748671996,93438.62299133475
SMBG,6917699.3556070505,6580.837949161544,1941.0479398484356,2670546.4791780384,166.0718888833144,-170.05265020714273,16080.6654102334,15704.23322379875
Task_Shifting,9932903.988793459,6679.256704566357,1834.8809168668843,5685751.112364447,264.49064428812744,-276.21967318869406,21496.98386371117,20584.164215125755
mHealth,4612823.194745112,6619.249594705592,1894.3193465385307,365670.31831610017,204.48353442736243,-216.78124351704764,1788.262900189625,1686.8171451712515
Integrated_Care,20129485.219644524,6679.370642011748,1837.6103803670856,15882332.343215512,264.604581733518,-273.49020968849277,60022.89241994507,58072.76377938939
Public_Private,21309696.076641507,6696.216513083955,1824.3187604768689,17062543.200212494,281.45045280572504,-286.78182957870945,60623.61254039319,59496.597902586254
Technology_Enhanced,42014744.07956336,6653.25843529296,1874.243170584564,37767591.20313434,238.49237501473,-236.85741947101428,158359.74295111827,159452.85263802428
