parameter,low_value,high_value,low_icer,high_icer,icer_range
effectiveness_multiplier,0.7,1.3,86605.16077199027,46633.548107994764,-39971.612663995504
cost_multiplier,0.7,1.3,42436.528778275235,78810.69630251115,36374.16752423591
sustainability_multiplier,0.8,1.2,60623.61254039319,60623.61254039319,0.0
discount_rate,0.0,0.06,60623.61254039319,60623.61254039319,0.0
