scenario,incremental_costs,incremental_qalys,icer_per_qaly
Base Case,5685751.112364447,264.49064428812744,21496.98386371117
High Resource Setting,7391476.446073781,317.3887731457529,23288.399185687103
Low Resource Setting,3980025.7786551123,211.59251543050198,18809.86088074727
Urban Setting,6822901.334837336,290.93970871694023,23451.255124048545
Rural Setting,4548600.889891557,238.0415798593147,19108.430101076596
Optimistic,4548600.889891557,343.8378375745657,13228.913146899182
Pessimistic,7960051.5573102245,185.1434510016892,42993.96772742234
