scenario,incremental_costs,incremental_qalys,icer_per_qaly
Base Case,15882332.343215512,264.604581733518,60022.89241994507
High Resource Setting,20647032.046180166,317.52549808022155,65024.800121607164
Low Resource Setting,11117632.640250858,211.6836653868144,52520.03086745193
Urban Setting,19058798.811858613,291.0650399068698,65479.51900357643
Rural Setting,12705865.874572411,238.1441235601662,53353.68215106228
Optimistic,12705865.874572411,343.9859562535734,36937.164566120045
Pessimistic,22235265.280501716,185.2232072134626,120045.78483989014
