incremental_costs,incremental_qalys,icer_per_qaly,net_monetary_benefit
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
5685751.112364447,264.49064428812744,21496.98386371117,-4627788.5352119375
