intervention,total_costs,total_qalys,incremental_costs,incremental_qalys,icer,dominated,extendedly_dominated
Baseline,4247152.876429012,6414.76606027823,0.0,0.0,0.0,False,False
mHealth,4612823.194745112,6619.249594705592,365670.31831610017,204.48353442736243,1788.262900189625,False,False
Task_Shifting,9932903.988793459,6679.256704566357,5685751.112364447,264.49064428812744,21496.98386371117,False,False
Public_Private,21309696.076641507,6696.216513083955,17062543.200212494,281.45045280572504,60623.61254039319,False,False
